Position,Annual Salary in Dollar,Date Hired
"Dep Dir, Long Range Planning",119771,2000
Deputy Director,119771,2001
Attorney Advisor,119711,2000
Program Analysis Officer,119678,1995
Attorney Advisor,119600,2004
Medical Legal Investigator,119584,2000
"Director, Info Tech",119559,1983
Clinical Psycholog,119509,1994
Clinical Nurse,119460,2002
Principal,119038,2010
It Project Manager,119020,2005
Internal Improvements Officer,119000,2006
Chief Administrative Officer,119000,2008
Forester (admin),118990,2003
Contract Specialist,118983,1983
Public Info Officer,118983,2002
Program Manager,118983,1984
Computer Specialist,118983,1983
Attorney Advisor,118875,2000
Trial Attorney,118875,1995
Attorney Advisor,118875,2007
Trial Attorney,118875,1998
Attorney Advisor,118875,1992
Trial Attorney,118875,2004
Trial Attorney,118875,2001
Committed Programs Director,118738,2007
Information Technology Specialist,118598,2008
Information Technology Specialist,118598,1997
Information Technology Specialist,118598,2009
Information Technology Specialist,118598,1974
Information Technology Specialist,118598,2009
Information Technology Specialist,118598,1986
Information Technology Specialist,118598,2008
Information Technology Specialist,118598,2000
Information Technology Specialist,118598,2001
Information Technology Specialist,118598,2008
Information Technology Specialist,118598,2009
Information & Privacy Officer,118598,1996
Forensic Scientist Iv,118598,2004
Information Technology Specialist,118598,2009
Information Technology Specialist,118598,2009
Manager Consumer Svce Division,118576,1989
Controller,118450,2009
Environ Protection Specialist,118394,1984
Language Access Program Manage,118172,1987
Chief Of Staff,118000,2006
Attorney Advisor,118000,2004
Attorney Advisor,118000,2005
Dir Boards & Commissions,118000,1982
Associate Director,118000,2011
Program Manager,117942,2008
Deputy Administrator (oas),117942,2002
Vocational Rehabilitation Specialist,117942,2011
Dir Of Consumer Srvs,117883,2001
Medical Officer,117646,2005
Economist Tech Advisor,117621,2003
Statistician,117613,2004
Policy & Sustainability Office,117613,2007
Hr Specialist,117500,2011
Assistant Peoples Counsel,117395,2000
Attorney Advisor,117395,1999
Assoc Administrative (street & Alley),117277,1984
Information Technology Specialist,117235,2006
Contract Specialist,117235,2008
Accounting Officer,117235,1976
Information Technology Specialist,117235,2010
Budget Officer,117235,2002
Budget Officer,117235,1997
Information Technology Specialist,117235,2007
Accounts Payable Manager,117235,1999
Reimbursement Specialist,117235,2005
Financial Reporting And Policy,117235,2002
Budget Officer,117235,1998
Budget Officer,117235,2007
Special Assistant,117235,1980
Attorney Advisor,117196,2004
Attorney Advisor,117196,1986
Director,117160,2008
Battalion Fire Chief,117091,1991
Program Analyst,117057,1999
Information Technology Specialist,117000,2007
Information Technology Specialist,117000,2007
Public Affairs Specialist,117000,2011
Podiatrist,116986,2001
Deputy Gen Counsel,116941,1997
Fleet Services Manager (contra,116717,2001
Program Manager,116717,1996
Civil Engineer,116717,1987
Information Technology Specialist,116717,1998
Director Of Business Operation,116600,2009
Information Technology Specialist,116511,2004
Program Manager,116511,1993
Information Technology Specialist,116511,2004
Capital Projects Manager,116502,2006
Inspector,116486,1994
Attorney Advisor,116480,2006
Battalion Fire Chief,116360,1982
Battalion Fire Chief,116360,1986
Battalion Fire Chief,116360,1984
Battalion Fire Chief,116360,2000
Battalion Fire Chief,116360,1985
Battalion Fire Chief,116360,1986
Battalion Fire Chief,116360,1986
Pharmacist,116080,1988
Financial Analyst,115995,1992
Facilities Operations Manager,115792,1988
Attorney Advisor,115662,2004
Trial Attorney,115662,2008
Trial Attorney,115662,2002
Attorney Advisor,115662,1997
Trial Attorney,115662,2010
Trial Attorney,115662,1998
Information Technology Specialist,115648,1999
Information Technology Specialist,115648,1998
Information Technology Specialist,115648,2008
Structural Engineer,115648,1966
Toxicologist (risk Assessment),115648,2009
Information Technology Specialist,115648,2007
Information Technology Specialist,115648,2006
Special Projects Coordinator,115648,2003
Information Technology Specialist,115648,2003
Civil Engineer,115644,2004
Captain,115636,1979
Captain,115636,1986
Captain,115636,1990
Captain,115636,1990
Captain,115636,1986
Captain,115636,1985
Captain,115636,1988
Captain,115636,1990
Captain,115636,1983
Captain,115636,1986
Captain,115636,1990
Captain,115636,1990
Captain,115636,1976
Captain,115636,1990
Captain,115636,1985
Captain,115636,1989
Captain,115636,1989
Captain,115636,1990
Captain,115636,1984
Captain,115636,1990
Captain,115636,1985
Captain,115636,1990
Captain,115636,1982
Captain,115636,1985
Captain,115636,1989
Captain,115636,1990
Captain,115636,1983
Captain,115627,1984
Information Technology Specialist,115616,2001
Contracted Programs Administra,115616,1987
City-wide Program Support Mana,115616,2001
Epidemiologist,115616,2000
Information Technology Specialist,115429,2011
Battalion Fire Chief (ems),115418,1977
Hearing & Appeals Exam,115417,1979
Early Care Program Manager,115417,2001
Administrative Constr Project Officer,115417,2005
Operations Manager,115417,2001
Information Technology Specialist,115417,2005
Auditor,115136,2001
Captain,115115,1981
Captain,115115,1979
Captain,115115,1977
Director,115035,2008
Director,115035,2011
Contract Specialist,115035,1985
Director,115035,2011
Chief Of Staff,115000,2007
Administrative Srvs Manager,115000,2008
Chief Of Staff,115000,2003
Deputy Director,115000,2001
Special Assistant,115000,2007
"Traffic Operations Mngr,",115000,2008
Social Service Program Manager,115000,1982
Gen Engineer,115000,2010
Chief For Program Support Svs,115000,1998
Protect Svcs Ofr-security Mgnt,115000,2008
It Section Director,115000,2003
Chief Of Staff,115000,2007
Chaplain,115000,2008
Attorney Advisor,115000,2007
Associate Professor,115000,2006
Attorney Advisor,115000,2003
Information Technology Specialist,115000,2010
Attorney Advisor,115000,2008
Associate Professor,115000,2011
Chief Of Staff,115000,2011
Associate Professor,115000,2010
Associate Professor,115000,2009
Dir Of Chart Sch Fin/grnts Adv,115000,2004
Associate Professor,115000,1988
Director Of Communications,115000,2011
Associate Professor,115000,1999
Dep Assistant Sup Of Elem & Second,115000,2009
Associate Professor,115000,2003
Attorney Advisor,115000,1998
Associate Director,114950,2007
Management Analyst,114950,2007
Chief Of Staff,114900,2009
"Director, Firearms & Toolmark",114867,1987
Forensic Svcs Advisor Liaison,114685,1987
Information Technology Specialist,114613,2006
Information Technology Specialist,114613,2004
Principal,114610,1984
Workers Compensation Recipient,114474,1999
Principal,114356,1967
Attorney Advisor,114305,1965
Attorney Advisor,114305,2003
Information Technology Specialist,114293,2005
Professor,114264,2007
Attorney Advisor,114236,2007
Program Manager,114233,2008
Bureau Chief,114233,2007
Auditor,114033,1997
Auditor (tax),114033,1982
Financial Analyst,114033,2001
Information Technology Specialist,114033,2009
Special Assistant,114033,1998
Reimbursement Specialist,114033,1999
Pension Project Manager,114033,2011
Chief Network & Systems Admin,114033,1986
Accountant,114033,2001
Budget Dir Ocfo,114033,2000
Program Analyst,114033,1974
Debt Manager,114033,2006
Accountant,114033,1982
Accountant,114033,1988
Cost Analyst,114033,2007
Chief Of Marketing,114033,2011
Program Assistant,114033,2001
Chief Of Marketing,114033,2005
Financial Manager And P,114033,1998
Financial Systems Analyst,114026,1999
Financial Database Analyst,114026,1998
Accounting Systems Manager,114026,2001
Budget Analyst,114000,1999
Bureau Chief (adolescent & Sch,114000,2010
Assistant Dir Strategic Ops & Finan,113985,2002
Executive Director,113970,2001
Information Technology Specialist,113970,2003
Chief Information Officer,113970,2002
Assistant Gen Counsel,113911,2001
Information Technology Specialist,113911,2010
Information Technology Specialist,113911,2001
Information Technology Specialist,113911,2007
Auditor (tax),113911,2005
Agency Fiscal Officer,113911,2010
Director Information Technolog,113911,2005
Information Technology Specialist,113911,2008
Financial Manager,113911,1997
Construction Analyst,113896,2004
Teacher,113616,1999
Teacher,113616,1987
Teacher,113616,1987
Diversity Program Manager,113555,2006
Administrative Officer,113555,1984
Associate Dir For Wage & Hour,113528,1971
Dean,113445,2004
Assoc Dean,113445,1998
Capital Program Officer,113445,1994
Attorney Advisor,113374,1998
Trial Attorney,113374,2010
Administrative Srvs Manager,113319,1981
Capital Operations Project Manager,113319,2003
Assoc Dir For Revitalization,113319,2003
Program Manager,113319,1985
"Lead, Criminal Investigator",113294,2000
Solid Waste Management Deputy Admin,113275,1987
Public Affairs Specialist,113242,1988
Attorney Advisor,113125,2007
Principal,113110,2000
Principal,113110,2008
Principal,113110,2008
Principal,113110,2007
Budget Analyst,113000,1988
Budget Analyst,113000,2006
Principal,112984,2000
Principal,112984,1993
Civil Engineer,112951,2010
Information Technology Specialist,112860,2004
Administrative Officer,112860,1969
Administrative Officer,112726,1999
Appraiser,112698,1997
Environmental Review Coor,112698,1992
Information Technology Specialist,112698,1979
Information Technology Specialist,112698,2001
Information Technology Specialist,112698,2010
Information Technology Specialist,112698,1980
Information Technology Specialist,112698,2011
Information Technology Specialist,112698,2005
Information Technology Specialist,112698,2000
Gen Counsel,112646,1993
General Counsel,112500,1985
Information Technology Specialist,112484,1998
Payment Center Management,112484,2004
Attorney Advisor,112449,1998
Trial Attorney,112449,2006
Attorney Advisor,112449,1986
Trial Attorney,112449,2005
Attorney Advisor,112449,2000
Attorney Advisor,112449,1986
Trial Attorney,112449,1999
Trial Attorney,112449,2001
Trial Attorney,112449,1999
Building Manager,112312,2000
Placement Services Administrat,112250,2005
Human Resources Manager,112200,2011
Assoc Adm (solid Waste Disp),112172,1974
Director,112167,2010
Attorney Advisor,112000,2009
Information Technology Specialist,112000,2007
Executive Director,112000,2004
Contract Specialist,112000,1970
Attorney Advisor,112000,2005
Mass Transportation Officer,112000,2003
Public Affairs Specialist,112000,2009
Information Technology Specialist,112000,2008
Bureau Chief,112000,2002
Principal,111916,1969
Principal,111916,1987
Environ Protection Specialist,111878,1990
Workers Compensation Recipient,111774,1985
Battalion Fire Chief,111768,1992
Train And Dev Manager,111764,1998
Building Manager,111614,1984
Counselor,111613,1974
Counselor,111613,1981
Counselor,111613,1976
Principal,111484,2006
Program Manager,111464,2001
Bureau Chief,111423,2006
Hearing Examiner,111413,1988
Principal,111356,1984
Battalion Fire Chief,111301,1988
Battalion Fire Chief,111301,1989
Battalion Fire Chief,111301,1989
Battalion Fire Chief,111301,1991
Battalion Fire Chief,111301,1987
Financial Manager,111197,1978
Accounts Payable Dir,111197,1997
Accounting Dir,111197,1985
Accounts Payable Manager,111197,2000
Fiscal Analyst,111197,2001
Accountant,111197,1997
Accountant,111197,1997
Payments & Collections Ofr,111197,1983
Bureau Chief,111181,2005
Attorney Advisor,111107,1999
Special Assistant,111100,2009
"Assoc Dir, One-stop Ctr Oper",111000,2011
Rent Administrator,111000,2010
Information Technology Specialist,110963,2005
Information Technology Specialist,110963,2005
Health Care Program Manager,110940,2002
Admin,110940,1979
Transportation Planner,110821,1986
Inspector,110730,1994
Information Technology Specialist,110709,2004
Environ Protection Specialist,110637,2007
Wic Program Manager,110592,1973
Grant Program Manager,110592,2004
Policy Analyst,110587,2005
Budget Officer,110587,1999
Information Technology Specialist,110587,2010
Contract Specialist,110587,2007
Agency Fiscal Officer,110587,1998
Financial Manager,110587,2002
Chief Management Operations,110587,1996
Treasury Operations Manager,110587,2008
Dir Internal Security,110587,2000
Inspector,110518,1990
Deputy Dir Pub Hlth Lab,110447,2002
Transp Management Planner,110415,2008
Public Information Officer,110415,2008
Associate Dean,110388,2009
Director,110388,2000
Udc Ambass At Lg& Dip&exch,110388,2009
"Act Dean, Comm Out & Ext Serv",110388,1997
"Asso Prov, Instit Effective",110388,2010
Teacher,110379,1987
Speech Pathologist,110379,1976
Workers Compensation Recipient,110344,1975
Captain,110318,1984
Captain,110318,1985
Captain,110318,1983
Captain,110318,1985
Captain,110318,1982
Captain,110318,1985
Captain,110318,1983
Captain,110318,1986
Captain,110318,1985
Captain,110318,1982
Captain,110318,1985
Captain,110318,1984
Captain,110318,1984
Captain,110318,1986
Mngmt And Program Analyst,110305,1986
Principal,110290,1981
Information Technology Specialist,110168,2006
Captain,110129,1994
Operations Program Manager,110121,2008
Hsng Prod Trust Fund Ofcr,110111,2006
Contract Specialist,110000,2006
Project Manager,110000,2008
Chief Of Staff,110000,2007
Program Manager,110000,2001
Assistant Facility Services Ma,110000,2008
Program Analyst,110000,2000
Administrative Hra,110000,2008
Information Technology Specialist,110000,2001
Information Technology Specialist,110000,2008
"Director, Crisis And Emergency",110000,2005
Intake & Investigations,110000,2006
Chief Of Staff,110000,2000
Protective Services Officer,110000,2008
Information Technology Specialist,110000,2008
Communications Director,110000,2011
Gen Engineer,110000,2007
Quality Improvement Manager,110000,2010
It Project Manager,110000,2011
Service Coordinator Program Ma,110000,1994
Program Manager,110000,2010
Chief Of Staff,110000,2000
Management Liaison Specialist,110000,2008
Secretary To The Council,110000,2007
Contract Compliance Monitor,110000,2001
"Dir, Accountability & Assessme",110000,2009
